ID,Nombre de la Técnica,Categoría,Tiempo Posición,Estado Inicial (Notación),Descripción Estado Inicial,Estado Final Exitoso (Notación),Descripción Estado Exitoso,Estado Final Fallido (Notación),Descripción Estado Fallido,Costo Stamina,Tiempo Ejecución,Puntaje
T01,Derribo de Doble Pierna,Derribo,9,"Pos(A:De_Pie, O:De_Pie)","Actor (A): De pie, cambia de nivel para atacar. Oponente (O): De pie, defendiendo su base.","Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior)",Actor (A): Ha completado el derribo y ahora está arriba (Pasador). Oponente (O): Ha sido derribado y está abajo (Guardiero).,"Pos(A:De_Pie, O:De_Pie) | ModP(A:Postura_Rota)","Actor (A): Su intento fue defendido (sprawl), quedando con la postura comprometida. Oponente (O): Defendió con éxito y tiene una ventaja para contraatacar.",5,6,5
T02,Proyección Osoto Gari,Derribo,12,"Pos(A:De_Pie, O:De_Pie) | Grip(A:Control_Judo)","Actor (A): De pie, con agarres de judo dominantes. Oponente (O): De pie, intentando romper los agarres.","Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior)",Actor (A): Ha proyectado a O y aterrizado directamente en control lateral. Oponente (O): Ha sido derribado a una posición muy desfavorable.,"Pos(A:De_Pie, O:De_Pie) | ModP(A:Desequilibrado)","Actor (A): Su intento de proyección falló, quedando desequilibrado. Oponente (O): Mantuvo su base y ahora tiene una ventaja posicional.",5,9,9
T03,Pase de Guardia Torreando,Pase de Guardia,14,"Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior)","Actor (A): De pie en la guardia de O, controlando sus piernas. Oponente (O): Abajo, usando sus piernas para mantener la distancia.","Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior)",Actor (A): Ha circulado alrededor de las piernas de O y asegurado el control lateral. Oponente (O): Ha perdido el control de sus piernas y está a la defensiva.,"Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior)","Actor (A): Su intento fue bloqueado. Oponente (O): Ha recuperado la posición de sus piernas, manteniendo la guardia abierta.",5,7,7
T04,Pase de Rodilla Deslizante,Pase de Guardia,13,"Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior)","Actor (A): Arriba en media guardia, aplicando presión (crossface). Oponente (O): Abajo, intentando usar la media guardia para raspar.","Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior)",Actor (A): Ha liberado su pierna y establecido el control lateral. Oponente (O): Ha perdido su media guardia y está en desventaja.,"Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior) | ModL(O:Underhook)","Actor (A): Su pase fue bloqueado. Oponente (O): Ha conseguido un underhook, previniendo el pase y preparando una contraofensiva.",5,8,7
T05,Pase de Guardia por Apilamiento,Pase de Guardia,6,"Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior)","Actor (A): Arriba, controlando las piernas de O. Oponente (O): Abajo, con la guardia abierta.","Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior)",Actor (A): Ha apilado a O sobre sus hombros y pasado a la posición Norte-Sur. Oponente (O): Está inmovilizado y su guardia ha sido pasada.,"Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior)","Actor (A): Se acercó demasiado. Oponente (O): Ha usado el impulso para cerrar su guardia, mejorando su posición.",5,6,5
T06,Estrangulamiento de Triángulo,Sumisión,12,"Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto)","Actor (A): Abajo en guardia cerrada, ha roto la postura de O. Oponente (O): Arriba, con un brazo dentro y otro fuera de la guardia.",Estado(Sumisión:Triángulo),Actor (A): Ha encajado el triángulo y gana el combate. Oponente (O): Es sometido.,"Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Erguido)","Actor (A): Perdió el control. Oponente (O): Ha recuperado la postura y abierto la guardia, ahora está en posición de pasar.",5,10,7
T07,Palanca de Brazo (Armbar),Sumisión,10,"Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto)","Actor (A): Abajo, controlando un brazo de O. Oponente (O): Arriba, con la postura rota y un brazo aislado.",Estado(Sumisión:Palanca_de_Brazo),Actor (A): Ha aplicado la palanca y gana el combate. Oponente (O): Es sometido.,"Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Apilado)","Actor (A): Su ataque fue bloqueado. Oponente (O): Se ha apilado sobre A, defendiendo el brazo y preparándose para pasar.",5,9,6
T08,Estrangulamiento de Guillotina,Sumisión,12,"Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModL(O.Cabeza:Bajo_A.Axila)","Actor (A): Abajo, ha capturado el cuello de O. Oponente (O): Arriba, con la cabeza atrapada en una guillotina.",Estado(Sumisión:Guillotina),Actor (A): Ha finalizado la estrangulación y gana el combate. Oponente (O): Es sometido.,"Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior)",Actor (A): Perdió el control del cuello. Oponente (O): Ha escapado de la guillotina y pasado directamente a control lateral.,5,10,6
T09,Raspado de Tijera,Raspado,11,"Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior)","Actor (A): Abajo en guardia cerrada, buscando revertir. Oponente (O): Arriba, intentando mantener la base.","Pos(A:Montada_Superior, O:Montada_Inferior)",Actor (A): Ha barrido a O y ahora está en la montada. Oponente (O): Ha sido revertido y está en una posición muy desfavorable.,"Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior)",Actor (A): Abrió la guardia pero no logró el raspado. Oponente (O): Mantuvo su base y ahora enfrenta una guardia abierta.,5,5,9
T10,Omoplata,Sumisión,9,"Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Roto)","Actor (A): Abajo en guardia abierta, atacando un hombro de O. Oponente (O): Arriba, con la postura baja y un brazo aislado.",Estado(Sumisión:Omoplata),Actor (A): Ha aplicado la llave de hombro y gana el combate. Oponente (O): Es sometido.,"Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(O:Erguido)",Actor (A): Perdió el control del brazo. Oponente (O): Ha recuperado la postura y escapado del ataque.,5,6,5
